,abstract,author,date,headline,section,source,word_count,id,candidate
515," [...] Kerry's principled record reaches all the way back to his call to end the Vietnam War, an act of moral clarity summed up in a compelling challenge still quoted today: ""How do you ask a man to be the last man to die for a mistake?"" The only pearl of moral wisdom Romney has offered thus far came in a recent debate: ""I'm running for office, for Pete's sake, I can't have illegals!"" Make no mistake: [...] the anti-Romney playbook was written in Massachusetts in the 1994 Senate race, not the 2004 presidential campaign.","Shrum, Robert",2011-11-23,He's not a flip-flopper; he is a shape-shifter,Editorial,Boston Globe,906.0,515,Romney
523," After spending more than $2 million of his own money - and relying heavily on an independent group to buy ads for him in New Hampshire - he will face considerable hurdles to compete in South Carolina, where he travels today. Huntsman drew backing from independents and moderates seeking a candidate other than Mitt Romney who has executive experience, the ability to work across party lines, and a focus on fiscal rather than social conservatism.","Schoenberg, Shira",2012-01-11,"In third place, Huntsman declares he's headed for S.C.",National,Boston Globe,673.0,523,Romney
530," Brad Malt, the Boston trustee who manages Romney's investments, confirmed the couple's charitable foundation had investments in money market mutual funds that included Fannie and Freddie holdings, but said those investments have been sold.","Wallack, Todd",2012-01-25,Romney's returns open a window on the wealthy,News,Boston Globe,1016.0,530,Romney
539," WASHINGTON - Mitt Romney's ambitious plan to rein in federal Medicare spending would give America's seniors a choice: choose government insurance or use a federal voucher to buy medical insurance from private companies. Republicans, and some Democrats, had urged a bipartisan deficit reduction panel to consider establishing a federally supported voucher system for seniors to buy private insurance, but the idea collapsed this week with the supercommittee.","Tracy, Jan",2011-11-26,Romney's Medicare plan short on details,National,Boston Globe,1379.0,539,Romney
540," Booker, the Democratic mayor of Newark, was accused of friendly fire last Sunday, when he criticized the president for ads that vilify Bain Capital, the private equity firm Romney led for 15 years. In the ABC interview, the former CIA director sidestepped questions about President Obama's use of the Osama bin Laden raid in campaign ads.\n","Borchers, Callum",2012-05-28,"Giuliani, Gingrich come to Romney's defense",National,Boston Globe,810.0,540,Romney
549," A spokeswoman added to his comments over the weekend, saying the pledge ""calls for legislation to strip taxpayer funding from thousands of health care facilities, including VA hospitals around the country, and strictly limits the choices a president would have to appoint federal officials"" and that he remains ""firmly pro-life."" The pledge requires signers to ""advance pro-life legislation to permanently end all taxpayer funding of abortion in all domestic and international spending programs, and defund Planned Parenthood and all other contractors and recipients of federal funds with affiliates that perform or fund abortions.""","Emery, Theo",2011-06-21,Abortion foes' pledge is snag for Romney,National,Boston Globe,1038.0,549,Romney
558, Wis. governor defends law limiting public unions WASHINGTON - Wisconsin Governor Scott Walker yesterday told Congress he averted massive dismissals of state workers by pushing a law curbing collective bargaining by public unions.,"Viser, Matt",2011-04-15,Brown aide departing to join Romney's emerging campaign,National,Boston Globe,663.0,558,Romney
560," At one point, several of his rivals pointedly disagreed with his decision as governor to sign an executive order mandating that all teenage girls in Texas receive the human papillomavirus vaccine to guard against the sexually transmitted infection. The Lone Star State has created about four out of 10 of the country's jobs over the past two years, but Romney said much of that should be attributed to the economic climate in Texas, an oil production state with no income taxes and Republican-led government, rather than anything Perry has done.","Viser, Matt",2011-09-13,Rivals put Perry on defensive in debate,National,Boston Globe,1218.0,560,Romney
562," [...] in Michigan, he is highlighting the times he battled unions - his efforts, for example, to ban union members from serving as government managers and to exempt small public works projects from the state's prevailing wage law.","Levenson, Michael",2012-02-17,"Risking union ire, Romney slams Santorum's labor votes",National,Boston Globe,965.0,562,Romney
566," WASHINGTON - During his first presidential campaign, Mitt Romney often turned his home state into the butt of jokes, portraying himself as a lone culture warrior in a bastion of gay-marriage activists, scientists experimenting with human embryos, and reckless liberals who had given rise to blighted neighborhoods ruined by poverty.","Viser, Matt",2011-10-27,"FOR ROMNEY, BAY STATE NO LONGER A PUNCH LINE",National,Boston Globe,1233.0,566,Romney
568," LAS VEGAS - Mitt Romney has a lot riding on Nevada as he readies his early-state strategy for a possible Republican primary campaign, but changes in the state's caucus rules and a surge of Tea Party movement activism will make the state a tougher environment for him than in 2008, when Romney romped with more than 50 percent of the vote. An estimated 7.5 percent of Nevada residents share Romney's Mormon faith, and exit polls showed Mormons accounted for one in four caucus voters in 2008.","Viser, Matt",2011-02-14,Nevada not a lock for Romney,National,Boston Globe,900.0,568,Romney
571," On the eve of the signing ceremony, he had praised the bill's requirement that every resident obtain health insurance, and suggested with pride that the rest of the nation might want to follow the Bay State's lead.","Jacoby, Jeff",2012-03-18,"On mandate, Romney plays both sides",Opinion,Boston Globe,764.0,571,Romney
575," Romney warned against candidates who are ""picking up the weapons of the left"" in their attack on him and said, ""If Republican leaders want to join this president in demonizing success and disparaging conservative values, then they're not going to be fit to be our nominee."" [...] when debate challenges and questions about releasing this income taxes revealed a political brittleness, there was only a thin reservoir of support upon which to draw.","Johnson, Glen",2012-01-23,An inevitable nomination suddenly looks less certain,National,Boston Globe,855.0,575,Romney
581," [...] Restore our Future is running a TV ad there attacking Gingrich for his ""baggage,"" including the growth of earmark spending while he was speaker and his teaming up with former Democratic House speaker Nancy Pelosi for an ad on global warming. Levin proposes raising tax rate on carried interest WASHINGTON - Representative Sander Levin outlined a new proposal yesterday in his five-year effort to increase the lower tax rate that private equity managers and other investment executives pay on their earnings.","Schoenberg, Shira",2012-02-15,Super PAC for Romney focuses ads on key states,National,Boston Globe,879.0,581,Romney
